time,prcp,temp,tempmax,tempmin,hurs,rsds,gradient
2019-03-01,0.0,-9.800476,-5.0859985,-17.608627,60.254623,222.9792,-0.0059914216
2019-03-02,0.0,-5.594055,-1.257721,-10.383972,66.43142,211.40639,-0.0059914216
2019-03-03,0.0,-4.512207,0.5720825,-8.94043,70.29557,222.01378,-0.0059914216
2019-03-04,0.0,-7.278534,-1.3035889,-14.884003,69.017746,251.7452,-0.0059914216
2019-03-05,0.0,-9.162994,-2.5403442,-14.782562,64.35499,245.47226,-0.0059914216
2019-03-06,0.0,-9.062073,-3.2036133,-14.491699,65.596504,247.57492,-0.0059914216
2019-03-07,0.0,-8.818146,-3.4021606,-14.46756,63.676544,250.64355,-0.0059914216
2019-03-08,0.0,-7.8382263,-2.3491516,-12.885437,63.824245,235.82169,-0.0059914216
2019-03-09,0.0,-6.585968,-0.6064148,-13.793152,67.921906,232.51175,-0.0059914216
2019-03-10,0.0,-8.334412,-1.8195496,-14.261505,61.2845,276.50806,-0.0059914216
2019-03-11,0.0,-4.919586,-1.1554565,-11.404694,63.243538,228.92828,-0.0059914216
2019-03-12,0.0,-5.7576904,0.2755432,-13.42215,63.364876,275.52237,-0.0059914216
2019-03-13,0.0,-6.1247864,-1.306366,-13.658264,64.50156,251.53154,-0.0059914216
2019-03-14,0.0,-3.4794617,0.014404297,-6.7893066,72.95019,192.30168,-0.0059914216
2019-03-15,0.0,-4.5436707,0.901886,-12.613434,69.72616,234.02965,-0.0059914216
2019-03-16,0.0,-7.018982,-1.2121582,-11.053833,60.453655,286.90076,-0.0059914216
2019-03-17,0.0,-4.2796936,1.4152832,-11.600464,64.527725,256.56287,-0.0059914216
2019-03-18,0.0,-3.7538147,1.5567322,-8.733063,72.78956,261.0388,-0.0059914216
2019-03-19,0.0,-4.0033264,2.464569,-9.846588,72.04533,277.15442,-0.0059914216
2019-03-20,0.0,-3.9752808,1.2393799,-9.67926,66.48131,269.99722,-0.0059914216
2019-03-21,0.0,-4.3045044,0.3699646,-8.546295,70.398315,278.12186,-0.0059914216
2019-03-22,0.0,-5.3610535,0.3156433,-12.813843,66.699196,285.4708,-0.0059914216
2019-03-23,0.0,-3.9943237,2.4945374,-14.487396,63.515854,272.45435,-0.0059914216
2019-03-24,0.0,-0.536438,2.9626465,-4.929901,74.96078,209.49342,-0.0059914216
2019-03-25,0.0,-1.0474854,2.950409,-5.854004,74.27156,265.6213,-0.0059914216
2019-03-26,0.0,-4.1562805,1.5279541,-12.280457,66.394806,304.62894,-0.0059914216
2019-03-27,0.0,-2.639557,4.545166,-13.398926,66.81719,282.73843,-0.0059914216
2019-03-28,0.0,-0.6289673,7.240906,-8.156403,70.944664,297.5645,-0.0059914216
2019-03-29,0.0,-1.3918457,6.621277,-8.065582,75.14888,278.6503,-0.0059914216
2019-03-30,0.0,1.6362,8.1008,-6.772156,60.21467,277.7893,-0.0059914216
2019-03-31,0.0,-1.532074,4.5132446,-9.655273,69.73879,312.60327,-0.0059914216
